"p","omega","delta","mu_e","mu_ql","mu_el","mu_qn","mu_en","mu_qa","mu_ea","mu_h","beta_nh","beta_hl","beta_hn","lambda_l","lambda_n","lambda_a","alpha","f_l","f_n","f_a","kappa","c","Tf","obsprob","T_min_l","gamma","E0","QL0","EL_s0","EL_i0","QN_s0","QN_i0","EN_s0","EN_i0","QA_s0","QA_i0","EA0","H_s0","H_i0"
2000,2.58466796875,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.0351513671875,0.0301416015625,0.0410888671875,65.140205078125,0.61943359375,0.27490234375,0.66689453125,0.01775810546875,0.4,4,0.47744140625,5.275390625,0.082255859375,98.14453125,71.38671875,79.00390625,52.44140625,74.12109375,56.73828125,11.42578125,34.27734375,60.44921875,23.53515625,54.98046875,0.09326171875,0.02001953125
2000,7.53466796875,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.0826513671875,0.0776416015625,0.0885888671875,15.145205078125,0.16943359375,0.72490234375,0.21689453125,0.06770810546875,0.4,4,0.32744140625,8.275390625,0.327255859375,48.14453125,21.38671875,29.00390625,2.44140625,24.12109375,6.73828125,61.42578125,84.27734375,10.44921875,73.53515625,4.98046875,0.34326171875,0.27001953125
2000,0.10966796875,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.0114013671875,0.0538916015625,0.0648388671875,90.137705078125,0.39443359375,0.49990234375,0.44189453125,0.04273310546875,0.4,4,0.40244140625,9.775390625,0.449755859375,23.14453125,96.38671875,4.00390625,77.44140625,49.12109375,81.73828125,36.42578125,59.27734375,85.44921875,98.53515625,29.98046875,0.46826171875,0.14501953125
2000,5.05966796875,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.0589013671875,0.0063916015625,0.0173388671875,40.142705078125,0.84443359375,0.94990234375,0.89189453125,0.09268310546875,0.4,4,0.25244140625,6.775390625,0.204755859375,73.14453125,46.38671875,54.00390625,27.44140625,99.12109375,31.73828125,86.42578125,9.27734375,35.44921875,48.53515625,79.98046875,0.21826171875,0.39501953125
2000,1.34716796875,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.0945263671875,0.0420166015625,0.0767138671875,77.638955078125,0.95693359375,0.83740234375,0.32939453125,0.05522060546875,0.4,4,0.43994140625,10.525390625,0.143505859375,85.64453125,58.88671875,41.50390625,39.94140625,86.62109375,44.23828125,48.92578125,96.77734375,72.94921875,86.03515625,92.48046875,0.03076171875,0.33251953125
2000,6.29716796875,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.0470263671875,0.0895166015625,0.0292138671875,27.643955078125,0.50693359375,0.38740234375,0.77939453125,0.00527060546875,0.4,4,0.28994140625,7.525390625,0.388505859375,35.64453125,8.88671875,91.50390625,89.94140625,36.62109375,94.23828125,98.92578125,46.77734375,22.94921875,36.03515625,42.48046875,0.28076171875,0.08251953125
2000,3.82216796875,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.0707763671875,0.0657666015625,0.0054638671875,52.641455078125,0.28193359375,0.61240234375,0.55439453125,0.08019560546875,0.4,4,0.36494140625,6.025390625,0.266005859375,10.64453125,83.88671875,66.50390625,14.94140625,11.62109375,19.23828125,23.92578125,21.77734375,97.94921875,11.03515625,17.48046875,0.40576171875,0.45751953125
2000,8.77216796875,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.0232763671875,0.0182666015625,0.0529638671875,2.646455078125,0.73193359375,0.16240234375,0.10439453125,0.03024560546875,0.4,4,0.21494140625,9.025390625,0.021005859375,60.64453125,33.88671875,16.50390625,64.94140625,61.62109375,69.23828125,73.92578125,71.77734375,47.94921875,61.03515625,67.48046875,0.15576171875,0.20751953125
2000,0.72841796875,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.0410888671875,0.0954541015625,0.0351513671875,71.389580078125,0.56318359375,0.89365234375,0.38564453125,0.04897685546875,0.4,4,0.38369140625,7.900390625,0.296630859375,54.39453125,90.13671875,35.25390625,96.19140625,42.87109375,62.98828125,30.17578125,3.02734375,16.69921875,17.28515625,73.73046875,0.12451171875,0.48876953125
2000,5.67841796875,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.0885888671875,0.0479541015625,0.0826513671875,21.394580078125,0.11318359375,0.44365234375,0.83564453125,0.09892685546875,0.4,4,0.23369140625,10.900390625,0.051630859375,4.39453125,40.13671875,85.25390625,46.19140625,92.87109375,12.98828125,80.17578125,53.02734375,66.69921875,67.28515625,23.73046875,0.37451171875,0.23876953125
